Français;Anglais
Toutefois;however
Néanmoins;nevertheless/nonetheless
Bien que;although/even though/though
Même si;even if
Malgré;despite/in spite of
Pourtant;yet
d’une part;on the one hand/on the hand
D’autre part;on the other hand
Afin de;to/so as to/in order to
Pour que;so that
Par exemple;for example/For instance
Ainsi;thus
En effet/effectivement;indeed
Entre autre;among others
À savoir;such as/namely/like
À cause de/grâce à;because of
Par conséquent;as a result/consequently
Donc;therefore
