Francais;Allemand
la publicité;die Werbung
faire de la publicité/faire la promotion de qc;für etw. werben
influencer qqn;jn beeinflussen
transmettre des fausses valeurs;falsche Werte vermitteln
l'exemple/le modèle à suivre;das Vorbild
diffuser une infox/diffuser des fake news;eine Falschmeldung verbreiten/Fake News verbreiten
croire qqn/croire en qqch;jn glauben/an etw. glauben
prudent;vorsichtig
le mensonge;die Lüge
mentir;lügen
faire confiance à qqn;jm vertrauen
se méfier de qqn;jm misstrauen
réfléchir à qqch;über etw. nach denken
verifier la source/verifier l'origine;die Quelle überprüfen/die Herkunft überprüfen
en secret;geheim
le secret;das Geheimnis
le complot/la conspiration;die Verschwörung
reconnaitre une théorie du complot;eine Verschwörungstheorie erkennen
rendre qqch crédible;etw. glaubwürdig machen
la responsabilité;die Verantwortung
responsable;verantwortungsvoll
(bien) utiliser qqch;mit etw. richtig um gehen/mit etw. um gehen
envoyer qqch à qqn;jm etw. schicken
recevoir qqch;etw. bekommen
les médias;die Medien
le journal;die Zeitung
le magazine;das Magazin/die Zeitschrift
écouter la radio;Radio hören
regarder la TV;fern sehen
s'informer par les réseaux sociaux;sich über soziale Netzwerke informieren
faire des recherches sur qqch;über etw. recherchieren
la nouvelle;die Nachricht
apprendre une nouvelle;eine Nachricht erfahren
communiquer qqch à qqn/apprendre qqch à qqn;jm etw. mit teilen
le communiqué;die Meldung
utiliser un moteur de recherche;eine Suchmaschine verwenden
